Number,Review,Sentiment
11,i went and saw this tonite with my mom i went in skeptical and w some what low expectations i knew not to expect your typical super hero movie,neutral
12,what we got was a masterpiece i went in expecting sheer boredom and i was instead on the edge of my seat the whole time not action edge of your seat it was a fear of what he may do or say next edge of your seat to see this character evolve into what we all know as the  villain of batman was beyond genius and joaquin phoenix is a true master at perfecting the art of consuming himself into this character i may be all over the place with this but i dont care this movie the story the acting directing effects everyone brought their a game and jp definitely deserves a nod and win for this role and no there is no comparison here to jack nicholson or heath ledger each actor took on this character and different levels different story points and different points in time so any comparison would just not be feasible or fair to any of the actors as they embraced him and made him come to life in their own genius way need i say more everything about this movie is masterful in every single way joker isnt just an awesome comic book movie its an awesome movie period it offers no easy answers to the unsettling questions it raises about a cruel society in decline joaquin phoenixs fully committed performance and todd phillips masterful albeit loose reinvention of the dc source material make joker a film that should leave comic book fans and nonfans alike disturbed and moved in all the right ways im speechless this is one of my favorite movies  and its the best joaquin phoenix gives one of the best performances ive ever seen yes i think he should absolutely win an oscar for his portrayal as the iconic character heath ledger is still my favorite joker but joaquin is pretty close to the level of ledger todd phillips did a phenomenal job directing i think this is his best work to date robert de niro is not given much screen time but he takes advantage of the time hes given and he shines the costume design and makeup is great as well and i think it should be nominated for a major award the script is incredible im going to be quoting a lot of the lines for days the violence in this movie was not even that bad compared to other films that have had this amount of controversy i would like to take a minute and say that films and other media do not cause violence this is not a dangerous film the last thirty minutes of this movie are absolutely insane i wont be able to forget them the death scene on the murray franklin show is absolutely crazy and i did not see it coming despite the fact that arthur fleck joker is a mass murderer i couldnt help but feel bad for his character at times i didnt forgive him for the things he did but at the same time i did sympathize with him i really liked the progression of arthurs character you see him slowly growing more and more insane as the seconds go by the runtime was perfect it never felt boring i loved this movie and theres so much more i want to talk about joaquin phoenix gives heath ledger a run for his money true story this is not a popcorn fluff comic book flick do not take your kids to see this movie shut down all ballots for the oscar joaquin is taking that one home hands down one of the best origin stories ever put out the only downside to this movie is that it is a stand alone film that will have no sequels or ties to the dc universe todd philips take on the joker is one of pure brilliance and joaquin phoenix was the joker we deserved he didnt steal from jack or heath but yet you got a taste of both the music the intense the realism the performance the story such a perfect combination of everything i never felt that a character like joker could be real until i saw this phoenix shows us what a joker is in our society and shows us how power can be obtained philips on the other hand had the perfect choice of music camera angles lighting and every important factor overall i did not expect the story to be this perfect too many shocking turns happened and it really does represent todays society if i was in the first screening i would have applauded for  min not  the perfect portrait of a decline to insanity,positive
13,amp joaquin phoenix portrays this flawlessly in a performance of a lifetime,neutral
14,choreographed impeccably by todd phillips amp is nothing short of breathtaking,positive
15,the cinematography amp backdrop ideology of such an original film for such a complex character is only complimented by the superb soundtrack amp acting a hauntingly beautiful film amp a definate ,positive
16,edit bring on part  plssssss we all want it joaquin portrayal of a sociopathic mentally unstable mans transformation to the iconic joker was non other than a grippingly accurate realistic and touching rendition a dark and disturbing character piece led by an oscar worthy performance by joaquin phoenix you really do feel bad for this guy which makes it all the more heartbreaking when he inevitably becomes the clown prince of crime we all know and love although weve never seen him like this we see him suffer throughout the movie to the point were almost rooting for himk to become a mass murdering psyco clown because that at least will make feel better then it happens and we just wish this could have all just been avoided because es so messed up we feel for him and care about him by the time hes the joker we wish we couldve helped him theres a lot of great nods to the greater batman universe yet the movie is a self contained character piece that can only be the mark of a great movie all the acting is great the plot while similar to taxi driver is brilliant and the quality of the movie shows you dont need cgi super powers to be a great villain in a superhero movie is a joke not everyone gets this movie is the rise of the joker  phoenix convinces me that he has always meant to be the joker the movie went beyond my expectations so many emotions went through me these couple hours i think because its rated r phoenix was able to unlock jokers full psychotic potential as the character he is meant to be this was an amazing story and it calls for more and i mean a build up a second movie maybe one with batman my hopes are too high at this point but nevertheless brilliant goddamn movie and the best joker ever played hands down the pool does not need the money they need the dignity and respect coz that is what it takes to be a human if you dont have that money will only be a reminder of them being a good boy like some politicians they feel so frustrated when people from the lower class does not accept their funding champions in this movie through jokers life i begin to get it  amazing story brilliant taking magnificent cinematography,negative
17,someone had to step out of the safe game played by superhero movies and joker movie does just that also the boys movie is gritty real insanely dark and sometime quite disturbing to people who dont want accept whats shown in the movie is a terrible reality we face everyday if refused a proper care,positive
18,normally people start to compare the movie with one of the greatest like the dark knight and in acting wise to that of heath ledgers potrayal of joker,neutral
19,i wouldnt say this movie is better that that or otherwise  but it will stand tall amongst the greatest like the godfather taxi driver citizen kane the dark knight,neutral
20,coming to the inevitable comparison of whos the better joker heath or joaquin the answer is both did a phenomenal job and the joker character itself is fortunate to have being played by two greatest actors,neutral
21,definitely a top contender for oscars i personally think it would take away,positive
22,best actor cinematography original score and if once upon a time in hollywood loses in makeup and hairstyling category it would definitely be to the joker seriously unbelievable dare i say better than heath ledger if joaquin phoenix doesnt win the oscar for best actor and joker doesnt win at the very least best screenplay it will be one of the biggest oscar snubs of our time,positive
